"SYMBOL","Log2FoldChange","Padj","change"
"MAP4K3",0.184703112648756,0.0151250725294011,"NOT"
"ZBTB32",0.541372201342388,0.00058962586352893,"NOT"
"TYROBP",-2.0216013739035,1.29641054918511e-33,"DOWN"
"TMEM159",0.934381246040295,7.60898390976308e-14,"NOT"
"GABRA3",7.33503941559474,4.36673380857655e-196,"UP"
"BRCA1",1.96549523578339,1.48031052167028e-69,"UP"
"ERCC1",0.401582045920307,4.6760777463063e-07,"NOT"
"CD22",-1.58530652922744,2.75306335407135e-11,"DOWN"
"SEMA3B",-2.78313048033933,4.92591406844368e-38,"DOWN"
"MBTPS2",0.462358902352661,1.96238573450116e-07,"NOT"
"PRICKLE3",1.5594219252226,3.02831236031341e-63,"UP"
"LTF",0.947424304926729,0.00762420051614956,"NOT"
"EXTL3",0.321605225556271,0.00343470122302197,"NOT"
"NR1H4",-1.72172874807212,0.000678143224703686,"DOWN"
"ELOVL5",0.0169626252498169,0.873639985753905,"NOT"
"ALOX5",-2.76768467722909,2.68395063640071e-55,"DOWN"
"KDM5D",-0.561656226143361,0.193489635326189,"NOT"
"CALCOCO1",-1.66603803731747,2.57443821477851e-74,"DOWN"
"UBR7",0.313381176026431,3.36642553281425e-05,"NOT"
"MAP4K5",0.0280990863890702,0.766091667387112,"NOT"
"EHD3",0.360276682062577,0.00324586127105233,"NOT"
"PSMC4",1.23772677499387,7.53237169102858e-31,"UP"
"MAN2B2",-0.667573377302428,6.35345196873093e-13,"NOT"
"SLC7A14",1.63325851763229,0.00030847907590854,"UP"
"CLDN11",-0.0616409738696442,0.871076985730294,"NOT"
"SLC25A39",1.29211534849256,4.31648879331536e-55,"UP"
"MVP",-0.996048204311306,9.65720899846814e-18,"NOT"
"NUB1",-0.273904651290546,0.000532146492160912,"NOT"
"PGM3",0.323431507233341,5.63637933584169e-05,"NOT"
"RWDD2A",-0.277319952914238,0.00788863225804965,"NOT"
"CLK1",-0.364861472466594,0.000838152549347094,"NOT"
"POLR3B",0.228559692846661,0.00515142969722898,"NOT"
"ANGEL1",-0.123947826758317,0.1394128952095,"NOT"
"RNF14",-0.298794919992171,0.000218176688989426,"NOT"
"DNASE1L1",-0.291997365083533,0.00244142376033457,"NOT"
"DDX11",1.98556673728232,7.59759459901688e-51,"UP"
"HEBP1",-0.54744455890862,1.4980142526888e-10,"NOT"
"GPRC5A",-3.07400387713595,4.20699450923071e-45,"DOWN"
"MAMLD1",-0.572456149862362,0.000218027644380885,"NOT"
"CD6",-0.712967057119492,3.38746040753131e-05,"NOT"
"TACC3",1.94310119217917,3.43111976134779e-74,"UP"
"UFL1",-0.0522621451337931,0.487572193920129,"NOT"
"POLA2",1.25830832205254,4.83855910718282e-48,"UP"
"ZC3H3",0.676720212943434,5.2465356056757e-18,"NOT"
"CAPN1",0.816150454372866,1.7439326795868e-21,"NOT"
"ACPP",0.570158106933843,0.00108306594432176,"NOT"
"MDH1",0.878129404619266,1.14221680852165e-21,"NOT"
"SLC30A9",-0.26996041866253,0.000565445314219413,"NOT"
"MTMR11",0.537219969193034,0.000536483442392375,"NOT"
"COX15",0.126905677217811,0.0794589623438029,"NOT"
"CCDC88C",0.26488833622834,0.0477072543489007,"NOT"
"YAF2",0.0643097072805309,0.507820605940386,"NOT"
"ZMYND11",-0.71713481365032,1.27535369614928e-21,"NOT"
"WAS",-1.39025473150944,1.58034659693084e-19,"DOWN"
"DPEP1",-0.238589329268184,0.452965581269966,"NOT"
"BID",1.11837799460036,1.47421205470448e-22,"UP"
"MATR3",0.0552209440676193,0.578942068338192,"NOT"
"NPC1L1",1.09374103967296,1.2695695344029e-06,"UP"
"XYLT2",1.0270594166625,2.74667371863569e-28,"UP"
"RGPD5",0.106379608133918,0.746212545655244,"NOT"
"STMN4",1.90413568442297,2.66223608676185e-08,"UP"
"NUDCD3",0.047056248512811,0.569834441470639,"NOT"
"ISL1",4.06618679378477,1.67403187115914e-21,"UP"
"CHDH",-1.13747602472543,1.27136091725072e-08,"DOWN"
"IL20RA",-0.648074415734334,0.000188402382272732,"NOT"
"CLCA1",0.289086614031028,0.651440033630369,"NOT"
"CLCA4",6.44248493605116,1.29334726569163e-60,"UP"
"GLT8D1",-0.217549263086163,0.000148539373718137,"NOT"
"ATP2C1",0.432704932869751,9.42588966337794e-07,"NOT"
"IGF1",-0.464852025764413,0.0761879609921932,"NOT"
"SLC38A5",0.439656501967054,0.0702732085880424,"NOT"
"RALBP1",0.180381436345645,0.0411585877767353,"NOT"
"RUFY3",-0.64069406008353,3.78518216122281e-12,"NOT"
"CNTN1",1.42559575975706,3.08044186172152e-07,"UP"
"SLC11A1",-2.48606335493401,3.08771797085453e-53,"DOWN"
"WWTR1",-0.666931600053865,1.98307972608889e-08,"NOT"
"AGPS",0.0941221848686575,0.359236370897825,"NOT"
"ZNF806",1.69044988269585,0.00739442624836717,"UP"
"CXorf56",0.428374989410364,4.82874724013041e-09,"NOT"
"ATP1A2",-3.59566305329355,1.04735003143727e-36,"DOWN"
"TTC27",0.655084957356644,6.95947701417596e-21,"NOT"
"ZNF582",-1.05747584868493,2.92218572548769e-09,"DOWN"
"VSIG2",-3.32098084183682,9.86817431151083e-34,"DOWN"
"PHLDB1",-0.95828089856926,1.19219993687674e-14,"NOT"
"MARCO",-4.00935128104838,5.60094773328317e-52,"DOWN"
"CYP24A1",4.79401534598611,9.02086224135163e-43,"UP"
"PRDM11",0.0753957065629638,0.618561308064581,"NOT"
"SYT13",3.57403281888836,8.79814642323336e-23,"UP"
"SNAI2",1.95018645163033,5.73122462512614e-39,"UP"
"CD74",-1.8188816114751,7.7162817315987e-26,"DOWN"
"HGF",-2.26749022975668,1.33196062068928e-25,"DOWN"
"ZRANB1",-0.247558253972928,0.000460956481313867,"NOT"
"NCDN",0.134519640836342,0.138450260633734,"NOT"
"ADGRA2",-1.13960533346414,2.25163462704981e-14,"DOWN"
"CCT8L1P",0.158835002274688,0.717142182058095,"NOT"
"ZFP64",1.61220278795369,1.29055070482568e-82,"UP"
"MNAT1",0.944949028710669,3.27233107757993e-28,"NOT"
"SAMD4A",-1.5913294234427,2.15267484255585e-22,"DOWN"
"RUNX3",0.16656017588817,0.28718949363609,"NOT"
"MRE11",0.587834724480612,7.59860479454289e-17,"NOT"
"PLEKHB1",-1.81196128078042,3.94186820269146e-14,"DOWN"
"SERPINB1",-0.770596943119382,9.42853240544492e-06,"NOT"
"CYP3A43",-0.0337183826983934,0.914744127345584,"NOT"
"SLC7A9",1.45013907590004,5.96140601042054e-10,"UP"
"SPAST",1.33005771967216,6.89157511911861e-40,"UP"
"NRXN3",-0.232232999183377,0.37239139788707,"NOT"
"OSBPL5",-0.74749664481987,2.14860589347296e-12,"NOT"
"AQR",0.0489165868173638,0.541225029510946,"NOT"
"CPS1",1.42376897903228,3.38733003165928e-06,"UP"
"C8B",-4.91700127799977,2.65640262422106e-32,"DOWN"
"FHL1",-3.93798070858481,1.73963448038945e-98,"DOWN"
"RTFDC1",0.0955553775159235,0.136427239949645,"NOT"
"GABRA1",2.16393227861736,0.00118506040154267,"UP"
"NLRP2",1.55897022432462,1.1450203071222e-05,"UP"
"SLC45A4",-0.0200633665024071,0.885363528000393,"NOT"
"RNF10",-0.198801168670853,0.000514963936674792,"NOT"
"ZNF839",0.168595515899857,0.110974156222879,"NOT"
"ZDHHC6",-0.016436255618226,0.832221982407457,"NOT"
"GRAMD1B",-0.365181590053588,0.0944235029166225,"NOT"
"RNH1",-0.599587717715779,2.75683256267383e-15,"NOT"
"NDUFS1",0.196599746366441,0.00843589711677682,"NOT"
"RB1CC1",0.316973937427034,0.00139595202053297,"NOT"
"ERP44",-0.084683298050776,0.302765838133869,"NOT"
"ALAS1",-0.886124517765506,1.06013431572046e-38,"NOT"
"BIRC3",-1.28267198883871,2.63414318334405e-09,"DOWN"
"AKAP11",-0.861377605039326,4.23051126083001e-33,"NOT"
"GLRX2",0.577915535977376,5.57774695046699e-10,"NOT"
"SNAPC1",1.09849208085541,4.13788488393505e-20,"UP"
"DERA",0.755468962764405,3.23433938845803e-11,"NOT"
"STRAP",1.00363323656675,1.22376661204358e-29,"UP"
"ABCC2",3.23100417025002,5.33034809147461e-22,"UP"
"DEF6",0.490366379998517,2.44311648839549e-07,"NOT"
"PLEKHO1",-0.40255540909329,6.2468513316945e-05,"NOT"
"GCLM",2.4435639613601,5.40504645864332e-29,"UP"
"UBR2",-0.382628674771549,4.54398033456729e-09,"NOT"
"EHD2",-1.48236098086394,2.89705060950709e-21,"DOWN"
